,Site,Date,Designated,Location,Coordinates,Latitude,Longitude,Description,Type
23,Canadian Car & Foundry ,1912 (completed),2009,Thunder Bay,"48.3570472,-89.3056722",48.3570472,-89.3056722,"Located within the Bombardier Transportation facility, the historic complex was the main plant of Canada's largest aircraft manufacturer during the Second World War, with 10% of the world's production of the Hurricane built there; representative of the wartime contributions made by women workers and of the country's post-war mass-transit manufacturing industry",NHistoric
24,Canal Lake Concrete Arch Bridge ,1905 (completed),1988,Bolsover,"44.5583083,-79.0461167",44.5583083,-79.0461167,"A bridge spanning the Trent-Severn Waterway, it is the earliest known reinforced concrete bridge in Canada",NHistoric
25,Carrying Place of the Bay of Quinte ,1787 (treaty negotiated),1929,Carrying Place,"44.0485472,-77.5828750",44.0485472,-77.582875,The location where Sir John Johnson and Chiefs of the Mississauga negotiated a treaty ceding a river and portage route between Lake Ontario and Lake Huron,NHistoric
26,Castle Kilbride ,1877 (completed),1993,Baden,"43.40417,-80.67139",43.40417,-80.67139,"An Italianate villa, the former residence of the ""Flax and Oil King of Canada"" James Livingston, known for its interior decorative mural paintings",NHistoric
27,Chiefswood ,1856 (completed),1953,Six Nations of the Grand River First Nation,"43.1010778,-80.0949667",43.1010778,-80.0949667,Italianate-style birthplace of poet E. Pauline Johnson,NHistoric
28,"Christ Church, Her Majesty's Chapel Royal of the Mohawk ",1843 (completed),1995,Deseronto,"44.1855361,-77.0734056",44.1855361,-77.0734056,"A historic chapel linked with establishment of Mohawk nation in Ontario; one of only two Royal chapels in Canada, representing the historic alliance between the British Crown and the Mohawk peoples",NHistoric
29,Claverleigh ,1871 (completed),1990,Creemore,"44.3180139,-80.1021778",44.3180139,-80.1021778,A noted example of a Gothic Revival-style wood villa,NHistoric
30,Cliff Site ,1670 (event),1919,Port Dover,"42.7855917,-80.1963111",42.7855917,-80.1963111,"Marked by a large memorial cross, the site where two Sulpician priests, FranÃ§ois Dollier de Casson and RenÃ© de BrÃ©hant de GalinÃ©e, laid claim to the north shore of Lake Erie in the name of France",NHistoric
31,Cobalt Mining District ,1903 (established),2002,Cobalt,"47.3975944,-79.6743528",47.3975944,-79.6743528,"A cultural landscape comprising buildings and structures associated with early 20th-century silver mining and urban settlement, once one of the largest silver producing areas in the world",NHistoric
32,Cox Terrace ,1884 (completed),1991,Peterborough,"44.3037667,-78.326222",44.3037667,-78.326222,A noted example of a residential terrace built in the Second Empire style,NHistoric
33,Cummins Pre-contact Site ,,1981,Thunder Bay,"48.40583,-89.35333",48.40583,-89.35333,A site once on the shoreline of glacial Lake Minong; extensive late Paleo-Indian quarry,NHistoric
34,Darlingside ,1830 (established),1992,Leeds and the Thousand Islands,"44.368283,-75.969317",44.368283,-75.969317,Rare surviving example of the wood depots that sold fuel to the steamboats that plied the St. Lawrence River and the Great Lakes,NHistoric
35,Donaldson Site ,500 BC - 300 AD,1982,Chippewa Hill,"44.5057556,-81.3340417",44.5057556,-81.3340417,"A 1.2-hectare (3.0-acre) archaeological site; the largest and best documented Saugeen Complex site known, representing many habitation and mortuary practices of the Woodland period",NHistoric
36,Ermatinger House ,1823 (completed),1957,Sault Ste. Marie,"46.5062583,-84.3246278",46.5062583,-84.3246278,"A stone house believed to be the oldest surviving house in Northwestern Ontario, it was built by Charles Oakes Ermatinger, an active partner of the North West Company, and was used as a temporary headquarters by Garnet Wolseley, 1st Viscount Wolseley during the Red River Expedition",NHistoric
37,Etharita Site ,1647â€“49,1982,Clearview,"44.412000,-80.210583",44.412,-80.210583,The main village of the Wolf Tribe of the Petun,NHistoric
38,Fairfield on the Thames ,"1792 (established), 1813 (destroyed)",1945,Chathamâ€“Kent,"42.6321583,-81.8697306",42.6321583,-81.8697306,"The site of the original village of Fairfield, founded in 1792 by Aboriginal refugees and Moravian missionaries who came to Canada from Ohio, fleeing persecution in the United States after refusing to take sides during the American Revolutionary War; the village was destroyed in 1813 by American invaders during the War of 1812, when the inhabitants were accused of sheltering British officers",NHistoric
39,Finnish Labour Temple ,1910 (completed),2011,Thunder Bay,"48.43222,-89.23000",48.43222,-89.23,A two-storey brick building that played an important social and community role for Finnish immigrants to Canada,NHistoric
40,First Commercial Oil Field ,1858 (discovery of oil),1925,Oil Springs,"42.783417,-82.1167722",42.783417,-82.1167722,"The site of the first commercial oil well in the world, the first drilled well in Canada, the first gumbeds that were commercially used in the world, and the first gas gusher in Canada",NHistoric
41,Forbes Textile Mill ,1863 (established),1989,Cambridge,"43.4275111,-80.3201611",43.4275111,-80.3201611,"A wool mill that was, for a time in the early decades of the twentieth century, the largest woollen and worsted mill in Canada",NHistoric
42,Former Almonte Post Office ,1891 (completed),1983,Almonte,"45.2255417,-76.1951417",45.2255417,-76.1951417,"A stone post office with a steep gabled roof and central clock tower; designed by Thomas Fuller, the building has undergone no major exterior alterations, so remains an excellent representative example of early multi-use federal buildings in small communities",NHistoric
43,Former Bowmanville Boys Training School/Camp 30 ,1924 (established),2013,Bowmanville,"43.92722,-78.66750",43.92722,-78.6675,"A group of Prairie-style buildings originally constructed as a progressive boys school, and used during the Second World War as an internment camp for German prisoners of war",NHistoric
44,Former Brockville Post Office ,1886 (completed),1983,Brockville,"44.5898111,-75.6848833",44.5898111,-75.6848833,"A stone post office, blending Flemish, Queen Anne and classical elements; a good example of the post offices erected by the Department of Public Works in smaller urban centres during Thomas Fuller's term as Chief Dominion Architect",NHistoric
45,Former Elora Drill Shed ,1865 (completed),1989,Elora,"43.680056,-80.4288917",43.680056,-80.4288917,"A good representative example of the early stage in drill hall construction in Canada (when rural militia units, rather than the Department of Defence, were responsible for their construction), noted for its classical proportions, the fanlight over the door and the oculus in the gable",NHistoric
46,Former Galt Post Office ,1887 (completed),1983,Cambridge,"43.3583556,-80.3155528",43.3583556,-80.3155528,"A limestone-clad post office, blending elements of Romanesque Revival, Gothic Revival and Second Empire architectural styles; representative of small urban post offices designed by Thomas Fuller",NHistoric
47,Former Port Perry Town Hall ,1873 (completed),1984,Port Perry,"44.1032972,-78.9472667",44.1032972,-78.9472667,"A noted example of a municipal meeting hall; the lower hall was used for village council meetings, and the balconied opera house on the second storey served as the village's social centre",NHistoric
48,Fort Malden ,"1799 (Fort Amherstburg completed), 1815 (fort initially rebuilt)",1921,Amherstburg,"42.1077111,-83.1126444",42.1077111,-83.1126444,"British fort (initially known as Fort Amherstburg) that served as the principal defence of the western frontier for the period until 1813 (when it was captured and later destroyed by the Americans), and also served as an important fortification during the border raids associated with the Upper Canada Rebellion in 1837-38",NHistoric
49,Fort Norfolk (Turkey Point),1814 (completed),1925,Norfolk County,"42.6994056,-80.324972",42.6994056,-80.324972,The site of a British military and naval post between 1814 and 1815; abandoned shortly after the War of 1812,NHistoric
50,Fort Sainte Marie II ,1649 (established),1920,Christian Island,"44.8241611,-80.1642333",44.8241611,-80.1642333,"A Jesuit mission to the Huron-Wendat 1649-50; in 1651, remaining Huron-Wendat made their last stand against the Iroquois from this mission before fleeing to Quebec",NHistoric
51,Fort St. Joseph ,1796 (established),1923,St. Joseph Island,"46.06333,-83.94667",46.06333,-83.94667,"Built as a counterpoint to an American garrison on Mackinac Island, Fort St. Joseph was the British Empire's most westerly outpost; destroyed by the Americans in 1812 when British forces left to take Fort Michilimackinac; the ruins of the fortifications and the archaeological resources on the site reveal the complex aspects of military, domestic and commercial life (both Aboriginal and European) in a frontier outpost",NHistoric
52,Fort St. Pierre ,1731 (established),1934,Fort Frances,"48.6183861,-93.3601000",48.6183861,-93.3601,The first French fort built west of Fort Kaministiquia by Pierre La VÃ©rendrye in Northwestern Ontario,NHistoric
53,Fort Wellington ,1813 (established),1920,Prescott,"44.7129000,-75.508500",44.7129,-75.5085,"One of the best preserved nineteenth-century fortifications in Canada, the fort protected shipping along the St. Lawrence River during War of 1812",NHistoric
54,Fort William ,1803 (established),1923,Thunder Bay,"48.34278,-89.35833",48.34278,-89.35833,"Important North West Company post, now serving as a reconstructed living history site",NHistoric
55,FranÃ§ois BÃ¢by House ,1812 (completed),1950,Windsor,"42.318500,-83.0424000",42.3185,-83.0424,"During the War of 1812, American forces crossed the Detroit River and used the house as headquarters for their invasion; when the Americans retreated one month later, the BÃ¢by House was occupied by British forces under Major-General Isaac Brock, who built an artillery battery on the property and used it to open fire on Fort Detroit",NHistoric
56,Fulford Place ,1901 (completed),1992,Brockville,"44.5972889,-75.6708250",44.5972889,-75.670825,"An excellent intact example of the type of mansion erected by wealthy Canadians in the late 19th and early 20th centuries, with the general layout of the site remaining as it was originally laid out by the Olmsted Brothers",NHistoric
57,Gillies Grove and House ,1937 (completed),1993,Arnprior,"45.4449889,-76.3589500",45.4449889,-76.35895,"House associated with two of the most prominent forest industry families in the Ottawa Valley, the McLachlins and the Gillies; surrounded by one of the few remaining accessible woodlots containing significant stands of old growth Ottawa Valley White Pine",NHistoric
58,Glanmore / Phillips-Faulkner House ,1883 (completed),1969,Belleville,"44.1669750,-77.3675361",44.166975,-77.3675361,"House designed by architect Thomas Hanley for J.P.C Phillips, a wealthy Belleville banker and financier; an excellent representative example of the Second Empire style popular among the upper middle class in late 19th-century Canada",NHistoric
59,Glengarry Cairn ,1842 (completed),1921,South Glengarry,"45.1217194,-74.4898139",45.1217194,-74.4898139,"Large cairn erected by the Glengarry militia to commemorate the services of Sir John Colborne, commander-in-chief of the armed forces during the Upper Canada Rebellion",NHistoric
60,Glengarry House ,1792 (completed),1921,Cornwall,"45.03944,-74.6190972",45.03944,-74.6190972,"The ruins of the residence of Lieutenant Colonel John Macdonell, a pioneer in the settlement of Ontario, first Speaker of the Legislative Assembly of Upper Canada, and a hero of the Battle of Queenston Heights",NHistoric
61,Glengarry Landing ,1814 (flotilla construction),1923,Edenvale,"44.4518278,-79.9000667",44.4518278,-79.9000667,"Site at the junction of the Nottawasaga River and Marl Creek, where in 1814 the Glengarry Light Infantry Fencibles, under the command of Lieutenant-Colonel Robert McDouall, constructed a flotilla of boats to relieve the British garrison at Fort Michilimackinac and to effect the subsequent capture of Prairie du Chien during the War of 1812",NHistoric
62,Guelph City Hall ,1857 (completed),1984,Guelph,"43.544083,-80.247750",43.544083,-80.24775,"A two-storey, limestone building built in the Renaissance Revival style, it is an excellent example of a multi-functional city hall, which contained the market, fire hall, police office and jail, library, a reading room, a large public hall, along with town offices and a council chamber; symbolic of Guelph's mid-19th-century confidence following the arrival of the Grand Trunk Railway in the community",NHistoric
63,Hamilton and Scourge ,1813 (sinking),1976,Lake Ontario (11 kilometres (6.8Â mi) north of St. Catharines),"43.2962000,-79.297944",43.2962,-79.297944,"The USS Hamilton and USS Scourge were two merchant schooners pressed into service by the Americans in the War of 1812, both of which capsized and sank in a sudden squall; the ships are in remarkable condition at the underwater wreckage site and are rare examples of surviving War of 1812 vessels",NHistoric
64,Her Majesty's / St. Paul's Chapel of the Mohawks ,1785 (completed),1981,Brantford,"43.1244472,-80.2349556",43.1244472,-80.2349556,"The first Protestant church in Upper Canada, now the oldest surviving church in Ontario, and one of only two Royal Chapels in Canada; symbolic of the important role played by the Loyalist Mohawks in the development of the province",NHistoric
65,Hillary House ,1862 (completed),1973,Aurora,"44.0028028,-79.4686278",44.0028028,-79.4686278,"Now operating as the Koffler Museum of Medicine, an excellent example of a Picturesque house in the Gothic Revival style",NHistoric
66,Homer Watson House / Doon School of Fine Arts ,1834 (completed),1980,Kitchener,"43.3948667,-80.4184944",43.3948667,-80.4184944,Once the home and studio of Canadian landscape artist Homer Watson; some of Watson's most well-known works are views of the surrounding countryside from various vantage points on this property,NHistoric
67,Homewood ,1801 (completed),1982,Augusta,"44.6332083,-75.6168694",44.6332083,-75.6168694,"A two-storey fieldstone residence built for Dr. Solomon Jones, a prominent Loyalist; the house reflects the lifestyle of a prominent rural professional in the early 19th century and its design uniquely melds the Palladian style and the rural architectural traditions of nearby Quebec",NHistoric
68,Huron County Gaol ,1841 (completed),1973,Goderich,"43.7496750,-81.7082833",43.749675,-81.7082833,A distinctive octagonal jail design in the Panopticon style of prison construction,NHistoric
69,Inverarden House ,1823 (completed),1968,Cornwall,"45.0313250,-74.6710722",45.031325,-74.6710722,"Built for retired North West Company partner John MacDonald of Garth, the manor house is an excellent early example of Regency architecture in Canada",NHistoric
70,Joseph Schneider Haus ,1816 (completed),1999,Kitchener,"43.4448194,-80.4946278",43.4448194,-80.4946278,"A house museum associated with the migration of German Mennonites from Lancaster County, Pennsylvania to Waterloo County in the early 19th century, and illustrative of the typical Mennonite house plan from the period",NHistoric
71,Kay-Nah-Chi-Wah-Nung (Rainy River Mounds) ,3000 BCE (ca.),1969,Morley,"48.646933,-94.094017",48.646933,-94.094017,"One of the most significant centres of early habitation and ceremonial burial in Canada, with evidence of 5,000 years of human habitation, including burial mounds from the Laurel and Blackduck cultures; a cultural and historic focal point for the Rainy Lake and River Bands of Saulteaux",NHistoric
72,Lansdowne Iron Works ,1801 (established),1932,Leeds and the Thousand Islands,"44.5493278,-76.126028",44.5493278,-76.126028,"The first ironworks in Upper Canada, destroyed by fire after a decade in operation",NHistoric
73,Leaskdale Manse ,1886 (completed),1996,Leaskdale,"44.2030972,-79.1604333",44.2030972,-79.1604333,The home of Lucy Maud Montgomery when she wrote 11 of the 22 works published during her lifetime; the house and its immediate area figure prominently in her posthumously published journals,NHistoric
74,Leeds and Grenville County Court House ,1844 (completed),1966,Brockville,"44.5908639,-75.6857472",44.5908639,-75.6857472,A landmark building set on a hill at the top of the historic Brockville town square; one of the most grandiose district courthouses built in Upper Canada,NHistoric
75,Lynnwood / Campbell-Reid House ,1851 (completed),1972,Simcoe,"42.8378972,-80.3033222",42.8378972,-80.3033222,Excellent example of a modestly-sized house in the Neoclassical style; located on a rise overlooking the Lynn River,NHistoric
76,Macdonell-Williamson House ,1819 (completed),1969,East Hawkesbury,"45.5636278,-74.3832556",45.5636278,-74.3832556,A stone house built on the banks of the Ottawa River as a retirement home for former North West Company partner John Macdonell,NHistoric
77,Matheson House ,1840 (completed),1966,Perth,"44.9010889,-76.2506639",44.9010889,-76.2506639,"Built for Roderick Matheson, a local merchant and politician, the house is a good example of an affluent, pre-Confederation residence; it occupies a key position in one of the best surviving historic streetscapes in Canada, and now serves as the Perth Museum",NHistoric
78,Mazinaw Pictographs ,,1982,Bon Echo Provincial Park,"44.9005722,-77.2064222",44.9005722,-77.2064222,The largest rock art site on the southern Canadian Shield and the only major pictograph site in Southern Ontario,NHistoric
79,McCrae House ,1858 (ca.) (completed),1966,Guelph,"43.536028,-80.245028",43.536028,-80.245028,"The birthplace of John McCrae, the author of In Flanders Fields",NHistoric
80,McMartin House ,1830 (completed),1972,Perth,"44.8978139,-76.2469417",44.8978139,-76.2469417,"Built for Daniel McMartin, a member of Upper Canada's Tory Loyalist elite; an example of American federal architecture that was elaborate for the time and place of construction",NHistoric
81,Merrickville Blockhouse ,1833 (completed),1939,Merrickvilleâ€“Wolford,"44.9168167,-75.8377861",44.9168167,-75.8377861,"A relatively large, British-designed blockhouse, considered an excellent example of the structures erected for the defence of the Rideau Canal in the 19th-century",NHistoric
82,Middleport Site ,,1953,Six Nations of the Grand River First Nation,"43.0983361,-80.0678278",43.0983361,-80.0678278,Archaeological site related to the Middle Ontario Iroquois,NHistoric
83,Middlesex County Court House ,1829 (completed),1955,London,"42.9821083,-81.2543472",42.9821083,-81.2543472,"A very early and nationally significant example of the Gothic Revival style in Canada; associated with the early government of the province, as the site of the building was proposed by John Graves Simcoe for the provincial capital",NHistoric
84,Mission of St. Ignace II ,1649 (attack),1955,Tay,"44.719389,-79.7179778",44.719389,-79.7179778,"Destruction of Saint Ignace II and nearby Saint-Louis sealed the fate of the Huron- Wendat confederacy, leading to the abandonment of their traditional homeland",NHistoric
85,Mnjikaning Fish Weirs ,3300 BCE (ca.),1982,Ramara,"44.6043417,-79.369611",44.6043417,-79.369611,"The site of the largest and best preserved wooden fish weirs known in eastern North America, in use from about 3300 B.C. until the recent past",NHistoric
86,Moose Factory Buildings ,1673 (established),1957,Moose Factory,"51.2786694,-80.639306",51.2786694,-80.639306,"19th-century buildings associated with the second Hudson's Bay Company post in Canada; after the 1821 merger with the North West Company, Moose Factory became the supply point for posts inland as far as Lake Timiskaming",NHistoric
87,Nanticoke ,1813 (battle),1924,Nanticoke,"42.7976056,-80.0533389",42.7976056,-80.0533389,"The site where the Norfolk volunteer militia routed a band of American marauders who had been pillaging area farms and terrorizing the country, an exploit that inspired the British military forces and the people of Upper Canada during the War of 1812; now the location of the Nanticoke Generating Station",NHistoric
88,Napanee Town Hall ,1856 (completed),1984,Greater Napanee,"44.2485889,-76.9506889",44.2485889,-76.9506889,"An early Ontario example of a combination town hall and market, and a rare extant example in Canada of a town hall in the Greek Revival style; symbolic of the development of local government in Ontario in the 19th century",NHistoric
89,Nazrey African Methodist Episcopal Church ,1848 (completed),1999,Amherstburg,"42.1013583,-83.1060139",42.1013583,-83.1060139,"A simple fieldstone chapel, now part of the North American Black Historical Museum complex; it has an important association with Bishop Willis Nazery, the first leader of a wholly Canadian denomination (the British Methodist Episcopal Church) founded by Underground Railroad refugees",NHistoric
90,Normandale Furnace ,1818 (commenced operations),1927,Normandale,"42.709750,-80.309883",42.70975,-80.309883,The site of an early 19th-century Ontario iron smelter,NHistoric
91,Old Hay Bay Church ,1792 (completed),2001,Greater Napanee,"44.1031806,-77.0170361",44.1031806,-77.0170361,"Built by United Empire Loyalist settlers, it is the oldest surviving Methodist building in Canada and is associated with the role played by Methodists in Upper Canadaâ€™s early development; a significant element of the history of the United Church of Canada",NHistoric
92,Old Stone Church ,1853 (completed),1991,Beaverton,"44.4262861,-79.1158750",44.4262861,-79.115875,A small rural fieldstone church; a particularly good example of the few early stone vernacular churches surviving in Canada,NHistoric
93,Old Stone Mill ,1810 (completed),1970,Delta,"44.6102056,-76.1223806",44.6102056,-76.1223806,A three-storey stone gristmill which played an important role in the settlement and economic development of Leeds County; one of the oldest surviving mills in Ontario,NHistoric
94,Old Woodstock Town Hall ,1853 (completed),1955,Woodstock,"43.1293806,-80.757472",43.1293806,-80.757472,"A two-storey, buff-brick, Italianate-style town hall building; an excellent example of a Canadian colonial adaptation of a British town hall",NHistoric
95,Oro African Methodist Episcopal Church ,1849 (completed),2000,Edgar,"44.5026889,-79.6363528",44.5026889,-79.6363528,A log church with an unmarked cemetery; the last built remnant of a community of Black Canadians with United Empire Loyalist roots,NHistoric
96,Ossossane Sites ,,1982,Ossossane Beach,"44.6823250,-79.9512528",44.682325,-79.9512528,Archaeological site of the principal village of Bear Clan of the Hurons,NHistoric
97,Our Lady of the Immaculate Conception ,1888 (completed),1990,Guelph,"43.5429944,-80.2516306",43.5429944,-80.2516306,"Influenced by the medieval cathedrals of France, the church on a hill is an exceptional example of the Victorian High Gothic style in Canadian architecture",NHistoric
98,Oxford-on-Rideau Township Hall ,1875 (completed),1984,Oxford Mills,"44.9625972,-75.6786556",44.9625972,-75.6786556,"A two-storey stone building with a cupola, this small town hall is representative of early local government in Canada",NHistoric
99,Park House,1796 (built),2018,Amherstburg,"42.103659,-83.113490",42.103659,-83.11349,"Considered one of the oldest houses in the Amherstburg region, Park House is a rare example of a once-common colonial building type found in settlements and fur-trading posts across colonial North America. Through its architecture, Park House tells the story of the traders and artisans who populated the Windsor region.",NHistoric
100,Parkhill ,8000 BCE (ca.),1982,Parkhill,"43.15917,-81.70778",43.15917,-81.70778,"The first major Palaeo-Indian habitation site reported in Ontario, consisting of concentrations of stone artifactual material distributed over 6 hectares (15 acres)",NHistoric
101,Parkwood ,1940 (completed),1989,Oshawa,"43.9033194,-78.8684667",43.9033194,-78.8684667,"A residential estate developed between 1915 and 1940 by Canadian industrialist Samuel McLaughlin; among the finest and most intact surviving examples of Canadian architectural and landscape design, featuring the work of Pearson and Darling, Frances Loring, John M. Lyle, Florence Wyle and others",NHistoric
102,Penman Textile Mill ,1874 (completed),1989,Paris,"43.1975778,-80.3896833",43.1975778,-80.3896833,"The first and most important plant of the largest knitting firm in Canada, the Penman Manufacturing Company",NHistoric
103,Perth Town Hall ,1864 (completed),1984,Perth,"44.8991278,-76.2488833",44.8991278,-76.2488833,"A two-storey stone building topped by a layered cupola with clock, symbolic of the role and importance of local government in the 19th century",NHistoric
104,Peterborough Drill Hall / Armoury ,1909 (completed),1989,Peterborough,"44.3086556,-78.3222944",44.3086556,-78.3222944,"Built in the Romanesque Revival style, the armoury is representative of the third phase of drill hall construction in Canada (1896â€“1918); one of the largest and best designed examples from the 1907-1909 period",NHistoric
105,Peterborough Lift Lock ,1904 (completed),1979,Peterborough,"44.3076806,-78.3002889",44.3076806,-78.3002889,"A large boat lift along the Trent-Severn Waterway designed to lift boats 19.8 metres (65Â ft); it is the highest hydraulic lift lock in the world, and at the time of its construction was an engineering achievement of national and international renown",NHistoric
106,Peterborough Petroglyphs ,900 to 1400 (ca.),1981,Otonabee-South Monaghan,"44.613444,-78.0441278",44.613444,-78.0441278,"An outcrop of exposed marble inscribed with hundreds of realistic human and animal forms, as well as numerous abstract and symbolic images; one of the largest known concentrations of pre-contact petroglyphs in Canada",NHistoric
107,Pic River Site ,,1981,Pic River,"48.6263278,-86.2849056",48.6263278,-86.2849056,"A site comprising four archaeological nodes: the Pic River site, Fort Pic, the Heron Bay site, and the Duncan site, which together represent numerous Aboriginal and European occupations dating from 12000 BCE to the late 19th century",NHistoric
108,Point Clark Lighthouse ,1859 (completed),1966,Point Clark,"44.0728556,-81.7573250",44.0728556,-81.757325,One of six Imperial Towers on Lake Huron; noted for its distinctive lantern and the quality of its architecture,NHistoric
109,Pointe au Baril ,,1923,Maitland,"44.637583,-75.609583",44.637583,-75.609583,"The ""Iroquoise"" and ""Outaouaise"", the last two French warships that navigated Lake Ontario, were built on this point",NHistoric
110,Port Hope Capitol Theatre,1930,2016,Port Hope,"43.950798,-78.293215",43.950798,-78.293215,"Rare and outstanding ""atmospheric"" theatre of the 1920s, among the first to present ""talkies""",NHistoric
111,Port Stanley ,1669 (first European contact),1923,Port Stanley,"42.6658306,-81.2119472",42.6658306,-81.2119472,"An important landing point for a succession of explorers and travellers of the 17th and 18th centuries, marked by a cairn commemorating events including the landing of Adrien Jolliet in 1669 (during the first descent of the Great Lakes by Europeans) and the encampment by Isaac Brock and his troops in the War of 1812",NHistoric
